time_sec,psi_deg,target_psi_deg,angle_error_deg,omega_rad_s,u_cmd,roll_deg,pitch_deg,body_roll_deg,body_pitch_deg,moment_nm,horizon,mpc_cost,q_angle,q_terminal,q_omega,r_u,r_du,settled
10.0,88.77400676150432,90.0,1.225993238495669,0.005722991837729623,0.06000000000000094,0.1533949692417084,6.9983274513089,7.0,0.0,159.07721689250326,8.0,0.08300389483875495,8.021210295585668,120.95446330135503,15.032133419200354,0.030079538608446255,3.0318154433785005,0
10.100000000000001,88.80677562055162,90.0,1.1932243794483817,0.005719244824970708,0.06000000000000094,0.14939975904912176,6.99841345056399,7.0,0.0,162.20550566079524,8.0,0.07892372960862973,8.021627400754772,120.97323303396477,15.130671244814902,0.030081102752830394,3.032441101132159,0
10.200000000000001,88.83952302520844,90.0,1.160476974791567,0.005715500327442307,0.06000000000000094,0.14540711648033305,6.998497126276191,7.0,0.0,165.33169452501195,8.0,0.07498044767607237,8.022044225936668,120.99199016715008,15.22914455202952,0.030082665847262505,3.0330663389050025,0
10.3,88.87224898988285,90.0,1.1277510101171473,0.005711758344599409,0.06000000000000094,0.14141704115939432,6.998578482910636,7.0,0.0,168.45578394016795,8.0,0.07117382600643583,8.022460771192023,121.010734703641,15.327553384102108,0.030084227891970086,3.0336911567880334,0
10.4,88.90495352897982,90.0,1.0950464710201864,0.005708018875892732,0.06000000000000094,0.13742953270555838,6.998657524926327,7.0,0.0,171.5777743648458,8.0,0.06750364181222271,8.02287703658198,121.02946664618908,15.42589778428135,0.030085788887182423,3.0343155548729692,0
10.5,88.93763665690109,90.0,1.0623633430989041,0.005704281920768734,0.06000000000000094,0.1334445907332943,6.998734256776128,7.0,0.0,174.69766626118403,8.0,0.0639696725530206,8.023293022168158,121.0481859975671,15.524177795806706,0.030087348833130592,3.0349395332522366,0
10.600000000000001,88.97029838804526,90.0,1.0297016119547384,0.0057005474786696285,0.06000000000000094,0.12946221485230225,6.998808682906773,7.0,0.0,177.8154600948659,8.0,0.06057169593547185,8.023708728012648,121.0668927605692,15.622393461908347,0.03008890773004743,3.0355630920189736,0
10.700000000000001,89.00293873680768,90.0,0.9970612631923208,0.005696815549033401,0.06000000000000094,0.12548240466753519,6.998880807758871,7.0,0.0,180.93115633510183,8.0,0.05730948991314701,8.024124154178013,121.08558693801061,15.720544825806991,0.03009046557816755,3.0361862312670205,0
10.8,89.02468472398952,90.0,0.9753152760104834,0.003795390754195911,0.040000000000000924,0.12150515977920909,6.9989506357669,7.0,0.0,184.04475545462196,8.0,0.05407469128993104,8.024539300727282,121.10426853272772,15.818631930713952,0.030092022377727307,3.0368089510909244,0
10.9,89.04642122065218,90.0,0.9535787793478192,0.0037937343461223517,0.040000000000000924,0.11885537734735233,6.99899590904827,7.0,0.0,186.11909697903909,8.0,0.05059717266456698,8.024815879597206,121.11671458187425,15.883980523807434,0.030093059548489523,3.0372238193958077,0
